294,3224,3224,263,27
295,10339,10339,6399,298
296,69432,69432,16754,1282
297,5777,5777,1915,31
298,25070,25070,5231,38
299,42222,42222,16547,2607
300,11193,11193,4496,146
301,48194,48194,8064,154
302,2090,2090,2373,1189
303,1896,1896,265,146
304,108421,108421,19478,716
305,6769,6769,1306,282
306,6944,6944,1158,141
307,188,188,55,1
308,2228,2228,484,20
309,1892,1892,512,23
310,6709,6709,1554,162
311,526,526,96,26
312,2643,2643,524,135
313,581,581,179,15
314,20730,20730,4993,73
315,2309,2309,491,59
316,1393,1393,264,19
317,3975,3975,604,169
318,1961,1961,420,28
319,5084,5084,629,33
320,27828,27828,12295,0
321,125,125,150,21
322,188,188,247,9
323,6187,6187,1371,4
324,7,7,2017,0
325,38773,38773,6743,99
326,58754,58754,8702,12
327,6845,6845,1717,3
328,249286,249286,21110,16767
329,1570,1570,242,23
330,58849,58849,21520,462
331,24612,24612,5662,48
332,7297,7297,2007,11
333,1389,1389,349,5
334,478,478,134,21
335,232,232,53,36
336,3231,3231,1469,46
337,1767,1767,676,9
338,16857,16857,8181,53
339,7375,7375,7725,119
340,2,2,278,0
341,10,20,30,0
342,318,318,44,3
343,290,290,94,3
344,1992,1992,1226,10
345,1850,1850,515,0
346,34622,34622,5821,1
347,3707,3707,1026,1
348,2435,2435,483,6
349,26957,26957,3342,85
350,2445,2445,259,25
351,1074,1074,1126,40
352,19623,19623,2312,702
353,37269,37269,4300,57
354,0,0,2145,0
355,14646,14646,2837,45
356,8933,8933,1053,297
357,44799,44799,10279,1723
358,18007,18007,7936,0
359,81,81,600,0
360,44616,44616,10687,7
361,826,826,348,43
362,3236,3236,572,22
363,19,19,292,0
364,9428,9428,1113,107
365,5013,5013,1409,67
366,7629,7629,2773,48
367,1321,1321,298,82
368,15626,15626,2874,23
369,3,3,12,0
370,1972,1972,579,364
371,20937,20937,4000,345
372,47799,47799,18047,3012
373,40243,40243,19531,2249
374,4300,4300,1729,88
375,2,2,1,0
376,4170,4170,605,4
377,7132,7132,1329,47
378,1,1,100,0
379,9080,9080,1338,13
380,2003,2003,449,30
381,1535,1535,718,0
382,14703,14703,1139,1025
383,2881,2881,577,57
384,5520,5520,394,2
385,1125,1125,170,37
386,959,959,216,31
387,6816,6816,2069,28
388,3476,3476,557,40
389,251,251,116,8
390,20937,20937,4064,31
391,8995,8995,2603,34
392,1501,1501,475,1
393,125,125,63,1
394,261,261,93,10
395,216,216,1441,2
396,1,1,2,11
397,10181,10181,5049,102
398,28381,28381,8256,48
399,82,82,40,73
400,2170,2170,338,115
401,8475,8475,4306,454
402,4729,4729,953,79
403,9024,9024,2493,30
404,881,881,796,0
405,427,427,131,8
406,4621,4621,441,17
407,61,61,26,0
408,121,121,29,0
409,5039,5039,1130,11
410,929,929,244,30
411,463,463,149,18
412,165,165,67,3
413,243,243,116,21
414,401,401,143,5
415,848,848,206,3
416,6172,6172,2818,164
